Run likelihood AICc
113 OneRates.21 -231.245638425556 466.491276851113
143 OneRates.49 -231.245638291245 466.491276582489
188 OneRates.9 -231.245638186612 466.491276373223
132 OneRates.39 -231.245637960507 466.491275921013
163 OneRates.67 -231.245637762387 466.491275524774
108 OneRates.17 -231.245637626831 466.491275253662
141 OneRates.47 -231.245637582925 466.491275165849
197 OneRates.98 -231.245637566839 466.491275133677
134 OneRates.40 -231.245637555192 466.491275110384
173 OneRates.76 -231.245637477681 466.491274955363
119 OneRates.27 -231.24563734251 466.491274685021
130 OneRates.37 -231.24563728564 466.49127457128
157 OneRates.61 -231.245637254643 466.491274509286
171 OneRates.74 -231.245637246947 466.491274493893
100 OneRates.10 -231.245637208503 466.491274417006
117 OneRates.25 -231.245637174673 466.491274349347
106 OneRates.15 -231.245637158446 466.491274316891
176 OneRates.79 -231.24563713597 466.491274271941
148 OneRates.53 -231.245637100693 466.491274201386
177 OneRates.8 -231.245637097867 466.491274195734
110 OneRates.19 -231.245637097245 466.491274194491
125 OneRates.32 -231.245637082121 466.491274164243
131 OneRates.38 -231.24563702662 466.491274053241
187 OneRates.89 -231.245637009642 466.491274019284
154 OneRates.59 -231.245637000562 466.491274001124
112 OneRates.20 -231.245636954233 466.491273908466
160 OneRates.64 -231.245636908896 466.491273817792
114 OneRates.22 -231.245636889273 466.491273778546
190 OneRates.91 -231.245636876846 466.491273753693
165 OneRates.69 -231.245636868779 466.491273737558
195 OneRates.96 -231.245636864072 466.491273728144
109 OneRates.18 -231.245636839596 466.491273679192
159 OneRates.63 -231.245636790817 466.491273581633
191 OneRates.92 -231.245636740643 466.491273481286
180 OneRates.82 -231.245636721576 466.491273443151
145 OneRates.50 -231.245636699101 466.491273398202
172 OneRates.75 -231.24563666178 466.491273323561
161 OneRates.65 -231.245636660063 466.491273320125
164 OneRates.68 -231.245636635832 466.491273271665
151 OneRates.56 -231.245636633613 466.491273267226
183 OneRates.85 -231.245636629991 466.491273259982
144 OneRates.5 -231.245636620886 466.491273241773
185 OneRates.87 -231.245636614051 466.491273228103
169 OneRates.72 -231.245636609052 466.491273218105
129 OneRates.36 -231.245636603375 466.49127320675
127 OneRates.34 -231.245636597326 466.491273194653
128 OneRates.35 -231.245636594172 466.491273188345
137 OneRates.43 -231.245636593482 466.491273186963
150 OneRates.55 -231.245636591481 466.491273182963
136 OneRates.42 -231.245636585448 466.491273170895
196 OneRates.97 -231.245636580106 466.491273160211
120 OneRates.28 -231.245636570132 466.491273140263
115 OneRates.23 -231.245636564178 466.491273128356
152 OneRates.57 -231.245636562811 466.491273125622
179 OneRates.81 -231.245636558742 466.491273117485
153 OneRates.58 -231.245636553918 466.491273107835
166 OneRates.7 -231.245636552112 466.491273104224
126 OneRates.33 -231.245636548229 466.491273096458
121 OneRates.29 -231.245636547847 466.491273095693
101 OneRates.100 -231.245636542869 466.491273085739
103 OneRates.12 -231.245636541444 466.491273082889
174 OneRates.77 -231.245636540686 466.491273081372
184 OneRates.86 -231.245636540273 466.491273080546
168 OneRates.71 -231.245636537346 466.491273074693
118 OneRates.26 -231.245636535183 466.491273070366
186 OneRates.88 -231.245636534734 466.491273069467
133 OneRates.4 -231.245636531989 466.491273063978
111 OneRates.2 -231.245636531203 466.491273062406
140 OneRates.46 -231.245636529389 466.491273058778
146 OneRates.51 -231.245636523731 466.491273047463
142 OneRates.48 -231.245636523518 466.491273047036
189 OneRates.90 -231.245636521452 466.491273042904
182 OneRates.84 -231.245636520636 466.491273041273
193 OneRates.94 -231.245636520296 466.491273040592
167 OneRates.70 -231.245636515946 466.491273031892
139 OneRates.45 -231.245636511327 466.491273022653
102 OneRates.11 -231.245636509336 466.491273018672
155 OneRates.6 -231.245636506768 466.491273013536
147 OneRates.52 -231.24563650291 466.49127300582
135 OneRates.41 -231.245636502469 466.491273004937
104 OneRates.13 -231.245636501126 466.491273002252
124 OneRates.31 -231.245636494025 466.49127298805
138 OneRates.44 -231.245636487595 466.49127297519
116 OneRates.24 -231.245636483703 466.491272967406
170 OneRates.73 -231.245636474115 466.491272948229
158 OneRates.62 -231.245636472776 466.491272945552
