tip,states
FMN_P003_WF11,Present
FMN_P003_WF12,Present
FMN_P003_WG01,Present
FMN_P003_WG02,Present
FMN_P003_WG03,Present
FMN_P003_WG07,Present
FMN_P003_WG08,Present
FMN_P003_WG09,Present
FMN_P003_WG10,Present
FMN_P003_WG11,Present
FMN_P003_WG12,Present
FMN_P003_WH01,Present
FMN_P003_WH02,Present
FMN_P003_WH03,Present
FMN_P003_WH04,Present
FMN_P003_WH05,Present
FMN_P003_WH07,Present
FMN_P003_WH08,Present
FMN_P003_WH09,Present
FMN_P003_WH10,Present
FMN_P003_WH11,Present
FMN_P003_WH12,Present
FMN_P004_WA02,Present
FMN_P004_WA03,Present
FMN_P004_WA05,Present
FMN_P004_WA06,Present
FMN_P004_WA07,Present
FMN_P004_WA08,Present
FMN_P004_WA09,Present
FMN_P004_WA10,Present
FMN_P004_WA11,Present
FMN_P004_WA12,Present
FMN_P004_WB01,Present
FMN_P004_WB02,Present
FMN_P004_WB03,Present
FMN_P004_WB04,Present
FMN_P004_WB05,Absent
FMN_P004_WB06,Absent
FMN_P004_WB07,Absent
FMN_P004_WB08,Absent
FMN_P004_WB09,Absent
FMN_P004_WB10,Absent
FMN_P004_WB11,Absent
FMN_P004_WB12,Absent
FMN_P004_WC01,Absent
FMN_P004_WC02,Absent
FMN_P004_WC04,Absent
FMN_P004_WC06,Absent
FMN_P004_WC07,Absent
FMN_P004_WC08,Absent
FMN_P004_WC09,Absent
FMN_P004_WC11,Absent
FMN_P004_WC12,Absent
FMN_P004_WD02,Absent
FMN_P004_WD03,Absent
FMN_P004_WD05,Absent
FMN_P004_WD06,Absent
FMN_P004_WD07,Absent
FMN_P004_WD08,Absent
FMN_P004_WD09,Absent
FMN_P004_WD10,Absent
FMN_P004_WD12,Absent
FMN_P004_WE01,Absent
FMN_P004_WE02,Absent
FMN_P004_WE05,Absent
FMN_P004_WE07,Absent
FMN_P004_WE08,Absent
FMN_P004_WE09,Absent
FMN_P004_WE12,Absent
FMN_P004_WF01,Absent
FMN_P004_WF02,Absent
FMN_P004_WF03,Absent
FMN_P004_WF04,Absent
FMN_P004_WF05,Absent
FMN_P004_WF07,Absent
FMN_P004_WF08,Absent
FMN_P004_WF09,Absent
FMN_P004_WF10,Absent
FMN_P004_WG02,Absent
FMN_P004_WG04,Absent
FMN_P004_WG05,Absent
FMN_P004_WG06,Absent
FMN_P004_WG10,Absent
FMN_P004_WH03,Absent
FMN_P004_WH05,Absent
FMN_P004_WH06,Absent
FMN_P004_WH08,Absent
FMN_P004_WH09,Absent
FMN_P004_WH11,Absent
FMN_P004_WH12,Absent
FMN_P005_WA02,Absent
FMN_P005_WA04,Absent
FMN_P005_WA05,Absent
FMN_P005_WA06,Absent
FMN_P005_WA07,Absent
FMN_P005_WA09,Absent
FMN_P005_WA10,Absent
FMN_P005_WA11,Absent
FMN_P005_WB04,Absent
FMN_P005_WB05,Absent
FMN_P005_WB07,Present
FMN_P005_WB08,Present
FMN_P005_WB09,Present
FMN_P005_WB10,Present
FMN_P005_WB11,Present
FMN_P005_WB12,Present
FMN_P005_WC01,Present
FMN_P005_WC02,Present
FMN_P005_WC03,Present
FMN_P005_WC04,Present
FMN_P005_WC05,Present
FMN_P005_WC06,Present
FMN_P005_WC07,Present
FMN_P005_WC08,Present
FMN_P005_WC09,Present
FMN_P005_WC10,Present
FMN_P005_WC11,Present
FMN_P005_WC12,Present
FMN_P005_WD01,Present
FMN_P005_WD02,Present
FMN_P005_WD03,Present
FMN_P005_WD04,Present
FMN_P005_WD05,Present
FMN_P005_WD06,Present
FMN_P005_WD07,Present
FMN_P005_WD08,Present
FMN_P005_WD09,Present
FMN_P005_WD10,Present
FMN_P005_WD11,Present
FMN_P005_WD12,Present
FMN_P005_WE01,Present
FMN_P005_WE02,Present
FMN_P005_WE03,Present
FMN_P005_WE04,Present
FMN_P005_WE05,Present
FMN_P005_WE06,Present
FMN_P005_WE07,Present
FMN_P005_WE08,Present
FMN_P005_WE09,Present
FMN_P005_WE10,Present
FMN_P005_WE11,Present
FMN_P005_WE12,Present
FMN_P005_WF02,Present
FMN_P005_WF03,Present
FMN_P005_WF04,Present
FMN_P005_WF05,Present
FMN_P005_WF06,Present
FMN_P005_WF07,Present
FMN_P005_WF08,Present
FMN_P005_WF09,Present
FMN_P005_WF10,Present
FMN_P005_WF11,Present
FMN_P005_WF12,Present
FMN_P005_WG01,Present
FMN_P005_WG02,Present
FMN_P005_WG04,Present
FMN_P005_WG05,Present
FMN_P005_WG06,Present
FMN_P005_WG07,Present
FMN_P005_WG08,Present
FMN_P005_WG09,Present
FMN_P005_WG10,Present
FMN_P005_WG11,Present
FMN_P005_WG12,Absent
FMN_P005_WH01,Absent
FMN_P005_WH02,Absent
FMN_P005_WH03,Absent
FMN_P005_WH04,Present
FMN_P005_WH06,Absent
FMN_P005_WH07,Absent
FMN_P005_WH08,Present
FMN_P005_WH09,Absent
FMN_P005_WH10,Present
FMN_P005_WH11,Absent
FMN_P005_WH12,Absent
FMN_P006_WA01,Absent
FMN_P006_WA02,Absent
FMN_P006_WA03,Absent
FMN_P006_WA04,Absent
FMN_P006_WA05,Absent
FMN_P006_WA06,Absent
FMN_P006_WA07,Absent
FMN_P006_WA08,Absent
FMN_P006_WA09,Absent
FMN_P006_WA10,Absent
FMN_P006_WA11,Absent
FMN_P006_WA12,Absent
FMN_P006_WB01,Absent
FMN_P006_WB02,Absent
FMN_P006_WB03,Absent
FMN_P006_WB04,Absent
FMN_P006_WB05,Absent
FMN_P006_WB07,Absent
FMN_P006_WB08,Present
FMN_P006_WB09,Absent
FMN_P006_WB10,Absent
FMN_P006_WB11,Present
FMN_P006_WB12,Present
FMN_P006_WC01,Present
FMN_P006_WC02,Present
FMN_P006_WC03,Present
FMN_P006_WC04,Present
FMN_P006_WC05,Present
FMN_P006_WC06,Present
FMN_P006_WC08,Absent
FMN_P006_WC09,Present
FMN_P006_WC10,Absent
FMN_P006_WC11,Present
FMN_P006_WC12,Absent
FMN_P006_WD01,Absent
FMN_P006_WD02,Present
FMN_P006_WD03,Present
FMN_P006_WD04,Present
FMN_P006_WD05,Present
FMN_P006_WD06,Present
FMN_P006_WD07,Present
FMN_P006_WD08,Present
FMN_P006_WD09,Present
FMN_P006_WD10,Present
FMN_P006_WD11,Absent
FMN_P006_WD12,Present
FMN_P006_WE01,Absent
FMN_P006_WE02,Present
FMN_P006_WE03,Present
FMN_P006_WE04,Present
FMN_P006_WE05,Absent
FMN_P006_WE06,Present
FMN_P006_WE07,Present
FMN_P006_WE08,Absent
FMN_P006_WE09,Present
FMN_P006_WE10,Absent
FMN_P006_WE11,Present
FMN_P006_WE12,Absent
FMN_P006_WF01,Present
FMN_P006_WF02,Absent
FMN_P006_WF03,Present
FMN_P006_WF04,Absent
FMN_P006_WF05,Absent
FMN_P006_WF07,Present
FMN_P006_WF08,Present
FMN_P006_WF10,Present
FMN_P006_WF11,Present
FMN_P006_WF12,Present
FMN_P006_WG01,Absent
FMN_P006_WG02,Absent
FMN_P006_WG03,Present
FMN_P006_WG04,Present
FMN_P006_WG05,Present
FMN_P006_WG06,Absent
FMN_P006_WG07,Present
FMN_P006_WG08,Absent
FMN_P006_WG10,Absent
FMN_P006_WG11,Absent
FMN_P006_WG12,Present
FMN_P006_WH03,Present
FMN_P006_WH04,Present
FMN_P006_WH05,Present
FMN_P006_WH06,Absent
FMN_P006_WH07,Absent
FMN_P006_WH09,Absent
FMN_P006_WH10,Absent
FMN_P006_WH12,Present
FMN_P007_WA01,Absent
FMN_P007_WA02,Absent
FMN_P007_WA04,Absent
FMN_P007_WA07,Present
FMN_P007_WA11,Absent
FMN_P007_WA12,Absent
FMN_P007_WB02,Absent
FMN_P007_WB06,Absent
FMN_P007_WB12,Absent
FMN_P007_WC01,Absent
FMN_P007_WC02,Absent
FMN_P007_WC03,Absent
FMN_P007_WC04,Absent
FMN_P007_WC05,Present
FMN_P007_WC06,Absent
FMN_P007_WC07,Absent
FMN_P007_WC08,Absent
FMN_P007_WC09,Absent
FMN_P007_WC11,Absent
FMN_P007_WC12,Present
FMN_P007_WD06,Absent
FMN_P007_WD08,Absent
FMN_P007_WD09,Absent
FMN_P007_WD12,Absent
FMN_P007_WE01,Absent
FMN_P007_WE02,Absent
FMN_P007_WE03,Absent
FMN_P007_WE04,Absent
FMN_P007_WE05,Present
FMN_P007_WE06,Present
FMN_P007_WE07,Present
FMN_P007_WE08,Present
FMN_P007_WE09,Present
FMN_P007_WE10,Present
FMN_P007_WE11,Present
FMN_P007_WE12,Present
FMN_P007_WF01,Present
FMN_P007_WF02,Present
FMN_P007_WF03,Present
FMN_P007_WF04,Present
FMN_P007_WF05,Present
FMN_P007_WF06,Absent
FMN_P007_WF07,Absent
FMN_P007_WF08,Present
FMN_P007_WF09,Present
FMN_P007_WF10,Present
FMN_P007_WF11,Absent
FMN_P007_WF12,Absent
FMN_P007_WG01,Absent
FMN_P007_WG03,Present
FMN_P007_WG04,Absent
FMN_P007_WG05,Present
FMN_P007_WG06,Present
FMN_P007_WG07,Present
FMN_P007_WG08,Present
FMN_P007_WG09,Present
FMN_P007_WG10,Present
FMN_P007_WG11,Present
FMN_P007_WG12,Present
FMN_P007_WH01,Present
FMN_P007_WH02,Present
FMN_P007_WH03,Present
FMN_P007_WH04,Present
FMN_P007_WH05,Present
FMN_P007_WH06,Present
FMN_P007_WH07,Present
FMN_P007_WH08,Present
FMN_P007_WH09,Present
FMN_P007_WH10,Present
FMN_P007_WH11,Present
FMN_P007_WH12,Present
FMN_P008_WA01,Present
FMN_P008_WA02,Present
FMN_P008_WA03,Present
FMN_P008_WA04,Present
FMN_P008_WA05,Present
FMN_P008_WA06,Present
FMN_P008_WA09,Absent
FMN_P008_WA10,Present
FMN_P008_WA11,Present
FMN_P008_WA12,Absent
FMN_P008_WB01,Absent
FMN_P008_WB02,Absent
FMN_P008_WB03,Present
FMN_P008_WB04,Present
FMN_P008_WB05,Present
FMN_P008_WB06,Absent
FMN_P008_WB07,Absent
FMN_P008_WB08,Absent
FMN_P008_WB09,Absent
FMN_P008_WB10,Present
FMN_P008_WB11,Present
FMN_P008_WB12,Absent
FMN_P008_WC01,Present
FMN_P008_WC02,Present
FMN_P008_WC03,Absent
FMN_P008_WC04,Absent
FMN_P008_WC05,Absent
FMN_P008_WC06,Absent
FMN_P008_WC07,Absent
FMN_P008_WC09,Present
FMN_P008_WC10,Present
FMN_P008_WC11,Present
FMN_P008_WC12,Present
FMN_P008_WD01,Present
FMN_P008_WD02,Present
FMN_P008_WD03,Present
FMN_P008_WD04,Present
FMN_P008_WD05,Present
FMN_P008_WD06,Present
FMN_P008_WD07,Present
FMN_P008_WD08,Present
FMN_P008_WD09,Present
FMN_P008_WD10,Present
FMN_P008_WD11,Present
FMN_P008_WD12,Present
FMN_P008_WE01,Present
FMN_P008_WE02,Present
FMN_P008_WE03,Present
FMN_P008_WE04,Present
FMN_P008_WE05,Present
FMN_P008_WE06,Present
FMN_P008_WE07,Present
FMN_P008_WE08,Present
FMN_P008_WE09,Present
FMN_P008_WE10,Absent
FMN_P008_WE11,Absent
FMN_P008_WE12,Present
FMN_P008_WF01,Absent
FMN_P008_WF03,Present
FMN_P008_WF04,Present
FMN_P008_WF05,Present
FMN_P008_WF06,Present
FMN_P008_WF07,Present
FMN_P008_WF08,Present
FMN_P008_WF10,Present
FMN_P008_WF11,Present
FMN_P008_WF12,Present
FMN_P008_WG01,Present
FMN_P008_WG02,Present
FMN_P008_WG03,Present
FMN_P008_WG04,Present
FMN_P008_WG05,Present
FMN_P008_WG06,Present
FMN_P008_WG07,Present
FMN_P008_WG08,Present
FMN_P008_WG09,Present
FMN_P008_WG10,Present
FMN_P008_WG11,Present
FMN_P008_WH01,Present
FMN_P008_WH03,Present
FMN_P008_WH04,Present
FMN_P008_WH05,Present
FMN_P008_WH06,Present
FMN_P008_WH07,Present
FMN_P008_WH08,Present
FMN_P008_WH09,Present
FMN_P008_WH10,Present
FMN_P008_WH11,Present
FMN_P008_WH12,Present
FMN_P009_WA01,Present
FMN_P009_WA02,Present
FMN_P009_WA03,Present
FMN_P009_WA04,Present
FMN_P009_WA05,Present
FMN_P009_WA06,Present
FMN_P009_WA07,Present
FMN_P009_WA08,Present
FMN_P009_WA09,Present
FMN_P009_WA10,Present
FMN_P009_WA11,Present
FMN_P009_WA12,Present
FMN_P009_WB01,Present
FMN_P009_WB02,Present
FMN_P009_WB03,Present
FMN_P009_WB04,Present
FMN_P009_WB05,Present
FMN_P009_WB06,Present
FMN_P009_WB07,Present
FMN_P009_WB08,Present
FMN_P009_WB09,Present
FMN_P009_WB10,Present
FMN_P009_WB11,Present
FMN_P009_WB12,Present
FMN_P009_WC01,Present
FMN_P009_WC02,Present
FMN_P009_WC03,Present
FMN_P009_WC04,Present
FMN_P009_WC05,Present
FMN_P009_WC06,Present
FMN_P009_WC07,Present
FMN_P009_WC08,Present
FMN_P009_WC09,Present
FMN_P009_WC10,Present
FMN_P009_WC11,Present
FMN_P009_WC12,Present
FMN_P009_WD01,Present
FMN_P009_WD02,Present
FMN_P009_WD04,Present
FMN_P009_WD05,Present
FMN_P009_WD06,Present
FMN_P009_WD08,Present
FMN_P009_WD09,Present
FMN_P009_WD10,Present
FMN_P009_WD11,Present
FMN_P009_WD12,Present
FMN_P009_WE01,Present
FMN_P009_WE02,Present
FMN_P009_WE03,Present
FMN_P009_WE04,Present
FMN_P009_WE05,Present
FMN_P009_WE06,Present
FMN_P009_WE07,Present
FMN_P009_WE08,Present
FMN_P009_WE09,Present
FMN_P009_WE10,Present
FMN_P009_WE11,Present
FMN_P009_WE12,Present
FMN_P009_WF01,Present
FMN_P009_WF02,Present
FMN_P009_WF03,Present
FMN_P009_WF04,Present
FMN_P009_WF05,Present
FMN_P009_WF06,Present
FMN_P009_WF07,Present
FMN_P009_WF08,Present
FMN_P009_WF09,Present
FMN_P009_WF10,Present
FMN_P009_WF11,Present
FMN_P009_WF12,Present
FMN_P009_WG02,Present
FMN_P009_WG03,Present
FMN_P009_WG04,Present
FMN_P009_WG05,Present
FMN_P009_WG06,Present
FMN_P009_WG07,Present
FMN_P009_WG08,Present
FMN_P009_WG09,Present
FMN_P009_WG10,Present
FMN_P009_WG11,Present
FMN_P009_WG12,Present
FMN_P009_WH01,Present
FMN_P009_WH02,Present
FMN_P009_WH03,Present
FMN_P009_WH04,Present
FMN_P009_WH05,Present
FMN_P009_WH06,Present
FMN_P009_WH07,Present
FMN_P009_WH08,Present
FMN_P009_WH09,Present
FMN_P009_WH10,Present
FMN_P009_WH11,Present
FMN_P009_WH12,Present
FMN_P010_WA01,Present
FMN_P010_WA02,Present
FMN_P010_WA03,Absent
FMN_P010_WA04,Absent
FMN_P010_WA05,Absent
FMN_P010_WA06,Present
FMN_P010_WA07,Absent
FMN_P010_WA08,Present
FMN_P010_WA09,Present
FMN_P010_WA10,Present
FMN_P010_WA11,Present
FMN_P010_WA12,Absent
FMN_P010_WB01,Absent
FMN_P010_WB02,Present
FMN_P010_WB03,Present
FMN_P010_WB04,Present
FMN_P010_WB05,Present
FMN_P010_WB06,Present
FMN_P010_WB07,Present
FMN_P010_WB08,Present
FMN_P010_WB09,Present
FMN_P010_WB10,Present
FMN_P010_WB11,Absent
FMN_P010_WC01,Present
FMN_P010_WC02,Present
FMN_P010_WC03,Absent
FMN_P010_WC04,Present
FMN_P010_WC05,Present
FMN_P010_WC06,Present
FMN_P010_WC07,Present
FMN_P010_WC08,Present
FMN_P010_WC09,Present
FMN_P010_WC10,Present
FMN_P010_WC11,Present
FMN_P010_WC12,Present
FMN_P010_WD01,Present
FMN_P010_WD02,Absent
FMN_P010_WD03,Present
FMN_P010_WD04,Present
FMN_P010_WD05,Present
FMN_P010_WD07,Present
FMN_P010_WD08,Present
FMN_P010_WD10,Present
FMN_P010_WD11,Present
FMN_P010_WD12,Present
FMN_P010_WE01,Present
FMN_P010_WE02,Present
FMN_P010_WE03,Present
FMN_P010_WE04,Present
FMN_P010_WE05,Present
FMN_P010_WE06,Present
FMN_P010_WE07,Present
FMN_P010_WE08,Present
FMN_P010_WE09,Present
FMN_P010_WE10,Present
FMN_P010_WE11,Present
FMN_P010_WE12,Present
FMN_P010_WF02,Present
FMN_P010_WF03,Present
FMN_P010_WF04,Present
FMN_P010_WF05,Present
FMN_P010_WF06,Present
FMN_P010_WF07,Present
FMN_P010_WF08,Present
FMN_P010_WF09,Present
FMN_P010_WF10,Present
FMN_P010_WF11,Present
FMN_P010_WF12,Present
FMN_P010_WG01,Present
FMN_P010_WG02,Present
FMN_P010_WG03,Present
FMN_P010_WG04,Present
FMN_P010_WG05,Present
FMN_P010_WG06,Present
FMN_P010_WG07,Present
FMN_P010_WG08,Present
FMN_P010_WG09,Present
FMN_P010_WG10,Present
FMN_P010_WG11,Present
FMN_P010_WG12,Present
FMN_P010_WH01,Present
FMN_P010_WH02,Present
FMN_P010_WH03,Present
FMN_P010_WH04,Present
FMN_P010_WH05,Present
FMN_P010_WH06,Present
FMN_P010_WH07,Present
FMN_P010_WH08,Present
FMN_P010_WH09,Present
FMN_P010_WH10,Present
FMN_P010_WH11,Present
FMN_P010_WH12,Present
FMN_P011_WA01,Present
FMN_P011_WA02,Present
FMN_P011_WA04,Present
FMN_P011_WA05,Present
FMN_P011_WA06,Present
FMN_P011_WA09,Present
FMN_P011_WA10,Present
FMN_P011_WA11,Present
FMN_P011_WA12,Present
FMN_P011_WB01,Present
FMN_P011_WB03,Present
FMN_P011_WB04,Present
FMN_P011_WB05,Present
FMN_P011_WB06,Present
FMN_P011_WB07,Present
FMN_P011_WB08,Present
FMN_P011_WB09,Present
FMN_P011_WB10,Present
FMN_P011_WB11,Present
FMN_P011_WB12,Present
FMN_P011_WC01,Present
FMN_P011_WC02,Present
FMN_P011_WC03,Present
FMN_P011_WC05,Present
FMN_P011_WC06,Present
FMN_P011_WC07,Present
FMN_P011_WC08,Present
FMN_P011_WC09,Present
FMN_P011_WC10,Present
FMN_P011_WC11,Present
FMN_P011_WC12,Present
FMN_P011_WD01,Present
FMN_P011_WD02,Present
FMN_P011_WD03,Present
FMN_P011_WD04,Present
FMN_P011_WD05,Present
FMN_P011_WD06,Present
FMN_P011_WD07,Present
FMN_P011_WD08,Present
FMN_P011_WD09,Present
FMN_P011_WD10,Present
FMN_P011_WD11,Present
FMN_P011_WD12,Present
FMN_P011_WE01,Present
FMN_P011_WE02,Present
FMN_P011_WE03,Present
FMN_P011_WE04,Present
FMN_P011_WE05,Present
FMN_P011_WE06,Present
FMN_P011_WE07,Present
FMN_P011_WE08,Present
FMN_P011_WE09,Present
FMN_P011_WE10,Present
FMN_P011_WE11,Present
FMN_P011_WE12,Present
FMN_P011_WF01,Present
FMN_P011_WF02,Present
FMN_P011_WF03,Present
FMN_P011_WF04,Present
FMN_P011_WF05,Present
FMN_P011_WF06,Present
FMN_P011_WF07,Present
FMN_P011_WF08,Present
FMN_P011_WF09,Present
FMN_P011_WF10,Present
FMN_P011_WF11,Present
FMN_P011_WF12,Present
FMN_P011_WG01,Present
FMN_P011_WG02,Present
FMN_P011_WG03,Present
FMN_P011_WG04,Present
FMN_P011_WG05,Absent
FMN_P011_WG06,Present
FMN_P011_WG07,Present
FMN_P011_WG09,Present
FMN_P011_WG10,Absent
FMN_P011_WG11,Present
FMN_P011_WG12,Present
FMN_P011_WH01,Present
FMN_P011_WH02,Present
FMN_P011_WH03,Absent
FMN_P011_WH04,Present
FMN_P011_WH05,Absent
FMN_P011_WH08,Absent
FMN_P011_WH09,Absent
FMN_P011_WH10,Present
FMN_P011_WH11,Present
FMN_P011_WH12,Present
FMN_P012_WA01,Absent
FMN_P012_WA02,Present
FMN_P012_WA03,Absent
FMN_P012_WA04,Present
FMN_P012_WA05,Present
FMN_P012_WA06,Present
FMN_P012_WA07,Present
FMN_P012_WA08,Present
FMN_P012_WA09,Present
FMN_P012_WA10,Present
FMN_P012_WA11,Present
FMN_P012_WA12,Present
FMN_P012_WB01,Present
FMN_P012_WB02,Present
FMN_P012_WB03,Present
FMN_P012_WB05,Present
FMN_P012_WB06,Absent
FMN_P012_WB07,Present
FMN_P012_WB08,Present
FMN_P012_WB10,Present
FMN_P012_WB11,Absent
FMN_P012_WB12,Present
FMN_P012_WC02,Present
FMN_P012_WC03,Absent
FMN_P012_WC04,Absent
FMN_P012_WC05,Absent
FMN_P012_WC06,Present
FMN_P012_WC07,Present
FMN_P012_WC09,Present
FMN_P012_WC10,Present
FMN_P012_WC11,Present
FMN_P012_WC12,Present
FMN_P012_WD01,Absent
FMN_P012_WD02,Absent
FMN_P012_WD03,Absent
FMN_P012_WD04,Absent
FMN_P012_WD07,Absent
FMN_P012_WD08,Absent
FMN_P012_WD09,Absent
FMN_P012_WD10,Absent
FMN_P012_WD11,Absent
FMN_P012_WD12,Absent
FMN_P012_WE01,Absent
FMN_P012_WE02,Absent
FMN_P012_WE03,Absent
